0	0.994718	0	1
1	1.00058	0.00586133	1
2	0.998646	0.00389768	1
3	0.997135	0.00314284	1
4	0.997344	0.00244333	1
5	0.997691	0.00202498	1
6	0.997399	0.00173615	1
7	0.998299	0.00175264	1
8	0.99837	0.0015473	1
9	0.997298	0.00175057	1
10	0.997416	0.00158781	1
11	0.997434	0.00144959	1
12	0.997129	0.00136803	1
13	0.996065	0.00165391	1
14	0.99658	0.00162368	1
15	0.996827	0.0015387	1
16	0.99729	0.0015176	1
17	0.997715	0.00149264	1
18	0.997514	0.00142607	1
19	0.997316	0.0013674	1
20	0.997089	0.00132026	1
21	0.997193	0.0012631	1
22	0.996981	0.00122533	1
23	0.997496	0.00128102	1
24	0.9976	0.00123316	1
25	0.997842	0.00120918	1
26	0.99811	0.00119395	1
27	0.998004	0.00115537	1
28	0.998132	0.00112216	1
29	0.998397	0.00111587	1
30	0.998863	0.00117556	1
31	0.999082	0.0011592	1
32	0.999184	0.00112813	1
33	0.999085	0.00109887	1
34	0.999168	0.00107023	1
35	0.998927	0.00106773	1
36	0.998876	0.00103974	1
37	0.99881	0.00101416	1
38	0.998924	0.000994433	1
39	0.998935	0.000969318	1
40	0.999044	0.00095159	1
41	0.999235	0.000948123	1
42	0.999496	0.00096201	1
43	0.999413	0.00094358	1
44	0.999487	0.000925307	1
45	0.99944	0.000906186	1
46	0.999564	0.000895372	1
47	0.99942	0.000888306	1
48	0.999441	0.000870251	1
49	0.999495	0.000854373	1
50	0.999454	0.000838466	1
51	0.999524	0.000825145	1
52	0.999468	0.000811336	1
53	0.999581	0.000804099	1
54	0.999664	0.000793714	1
55	0.999738	0.000782909	1
56	0.999821	0.000773568	1
57	0.999852	0.00076074	1
58	0.999822	0.000748354	1
59	0.999781	0.000736893	1
60	0.999955	0.000745152	1
61	1.00011	0.000749104	1
62	1.00023	0.000747646	1
63	1.00031	0.000740155	1
64	1.00034	0.000729199	1
65	1.00019	0.000733963	1
66	1.00012	0.000725903	1
67	1.00012	0.000715175	1
68	1.00005	0.000708019	1
69	1.00006	0.000697939	1
70	1.00004	0.00068828	1
71	1.00011	0.000682073	1
72	1.00022	0.000681322	1
73	1.00012	0.000679302	1
74	1.00019	0.000673719	1
75	1.00025	0.000667402	1
76	1.00027	0.000659079	1
77	1.0003	0.000651384	1
78	1.00024	0.000646084	1
79	1.00021	0.000638866	1
80	1.00022	0.000630979	1
81	1.00025	0.00062433	1
82	1.00024	0.000616871	1
83	1.00022	0.000610015	1
84	1.00014	0.000607385	1
85	1.00013	0.000600356	1
86	1.00015	0.000593649	1
87	1.00015	0.000586865	1
88	1.0002	0.00058222	1
89	1.00032	0.000588853	1
90	1.00033	0.000582507	1
91	1.00028	0.00057824	1
92	1.00029	0.000571994	1
93	1.00031	0.00056652	1
94	1.0002	0.000572346	1
95	1.0003	0.00057612	1
96	1.00019	0.000581304	1
97	1.00023	0.000576844	1
98	1.00025	0.000571226	1
99	1.00023	0.000565679	1
